text,label
"quede atrapado en el trafico otra vez esta mañana",0
"el colectivo llego antes de lo que pensaba",0
"por fin llene el tanque, andaba con la reserva",0
"pido un uber porque esta lloviendo bastante fuerte",0
"encontre estacionamiento super rapido hoy",0
"a mi bici le hacen falta gomas nuevas",0
"el subte venia repleto esta mañana",0
"me quede sin nafta a mitad de camino, por suerte habia una estacion cerca",0
"el tren se atraso quince minutos hoy",0
"pedi un didi porque no tenia ganas de manejar",0
"el semaforo de la esquina quedo en amarillo intermitente",0
"llevo el auto al lavadero antes de salir de viaje",0
"me perdi un poco pero el gps me reencaminó rapido",0
"el peaje subio de precio otra vez",0
"ando en bici al trabajo desde que empezo el buen tiempo",0
"tuve que esperar bastante el colectivo hoy",0
"cambiando la goma pinchada antes de salir",0
"llegue justo para tomar el ultimo tren",0
"compartiendo el auto con un compañero para ir al trabajo",0
"el estacionamiento del centro estaba lleno hoy",0
"saque la licencia de conducir la semana pasada",0
"revisando el aceite del auto antes del viaje largo",0
"el bondi paso lleno y tuve que esperar el siguiente",0
"manejando bajo la lluvia, hay que ir despacio",0
"llevando el auto al service programado de hoy",0
"caminando hasta la parada porque no habia colectivos cerca",0
"el trafico en la autopista esta pesado a esta hora",0
"pedi un taxi porque perdi el ultimo tren",0
"cargando la sube antes de subir al colectivo",0
"el gps me llevo por un camino distinto al de siempre",0
"la moto quedo en el taller para el service",0
"esperando en la parada hace bastante rato ya",0
"cruzando la ciudad en bici para evitar el trafico de la tarde",0
"el avion salio con demora pero ya estamos por embarcar",0
"buscando estacionamiento cerca de la terminal de micros",0
"revisando los horarios del tren para el finde",0
"manejando de noche por la ruta, hay que estar atento",0
"el auto no arrancaba bien esta mañana pero ya arranco",0
"llevando a los chicos a la escuela en auto hoy",0
"esperando que abran la barrera del paso a nivel",0
"el trafico de la tarde siempre es peor que el de la mañana",0
"comprando los pasajes para el viaje del mes que viene",0
"el subte se detuvo unos minutos entre estaciones",0
"pedi un remis porque estaba lloviendo mucho",0
"la bici se me pincho justo a mitad de camino",0
"llegue al aeropuerto con tiempo de sobra hoy",0
"el peaje de la ruta nueva es bastante caro",0
"caminando hasta el trabajo porque hace buen dia",0
"revisando el estado de las gomas antes de salir de viaje",0
"esperando que largue el semaforo para cruzar en bici",0
"el colectivo de esta linea siempre viene lleno a esta hora",0
