text,label
"esta lloviendo de nuevo, que pesado",0
"me olvide el paraguas justo hoy",0
"hace un calor insoportable esta tarde",0
"el pronostico dice que va a estar soleado todo el finde",0
"me encanta este clima fresco de otoño",0
"el viento casi se lleva mi gorra recien",0
"necesito una campera para esta noche, refresca bastante",0
"cancelamos el asado por la lluvia, lo pasamos para el domingo",0
"esta re nublado hoy, parece que va a llover",0
"prendi el aire porque el calor esta insoportable",0
"esta helado hoy, hay que abrigarse bien",0
"el amanecer de hoy estuvo hermoso desde mi ventana",0
"empezo a granizar de la nada hace un rato",0
"la humedad de hoy no deja ni respirar",0
"prendi la estufa porque bajo mucho la temperatura",0
"salio el sol despues de tantos dias de lluvia",0
"el viento esta fuerte hoy, casi se vuela la sombrilla",0
"esta nevando en las sierras, dicen que va a durar unos dias",0
"chequeando la app del clima antes de salir",0
"el atardecer de hoy se veia espectacular",0
"con este frio no dan ganas de salir de la cama",0
"cambio bruscamente el clima esta semana",0
"prendi el ventilador porque no se aguanta el calor",0
"parece que se viene una tormenta fuerte esta noche",0
"esta un poco fresco para salir sin campera",0
"el clima estuvo perfecto para la caminata de hoy",0
"llovio toda la noche y ahora esta todo mojado",0
"hace un sol tremendo, mejor usar protector",0
"el pronostico anuncia lluvias para el fin de semana",0
"esta haciendo bastante frio para esta epoca del año",0
"el cielo esta despejado hoy, buen dia para salir",0
"cambie de ropa porque hace mas calor de lo que pensaba",0
"esta lloviznando desde temprano, no para de a poco",0
"con este calor lo mejor es quedarse a la sombra",0
"el viento hoy esta bastante fuerte para andar en bici",0
"parece que va a estar fresco toda la semana",0
"prendi la calefaccion porque enfrio bastante de golpe",0
"el cielo se puso bastante gris de repente",0
"esta haciendo un calor pegajoso hoy, no se aguanta",0
"salio el arcoiris despues de la lluvia de hoy",0
"cambio el clima de golpe, ahora esta bastante templado",0
"tuvimos que suspender la salida por la lluvia",0
"esta helado esta mañana, se ve la respiracion en el aire",0
"el clima de hoy invita a quedarse adentro con un te",0
"la nube negra que se ve allá anuncia tormenta segura",0
"esta soleado pero corre un viento bastante fresco",0
"el calor de hoy no da tregua ni de noche",0
"prendi el aire acondicionado por primera vez este año",0
"parece que el finde va a estar fresco y soleado",0
"con esta helada hay que sacar los abrigos de invierno",0
"el clima cambio tan rapido que no supe como vestirme",0
