text,label
"Las deudas de las tarjetas por comprar compulsivamente me arruinaron la vida, ya tomé la decisión de irme de este mundo",3
"Fui al súper y no me alcanzó para la leche de mis hijos, soy un completo inútil y hoy voy a desaparecer para que dejen de sufrir por mi culpa",3
"Reventé mis ahorros comprando cosas que no necesito por mi adicción, no merezco vivir y ya no le encuentro sentido a seguir respirando",3
"El banco me va a embargar la casa por las compras que oculté a mi esposo, perdónenme pero la única salida que veo es la muerte",3
"Gasté lo del alquiler en ropa para llenar este vacío y ahora estoy en la calle, ojalá no despierte mañana",3
"No puedo comprarle ni un zapato a mi hija, mi existencia es un fracaso y creo que todos estarían mejor sin mí",3
"Me gasté la pensión en compras por internet, no me queda para comer y sinceramente prefiero matarme antes que pedir ayuda",3
"Ver el estado de cuenta con todo lo que gasté este mes me hizo darme cuenta de que soy un enfermo sin cura, me despido de todos",3
"Siento que mi única utilidad era proveer y como ya no puedo comprar ni lo básico para la casa, mi vida no vale nada",3
"Me endeudé hasta el cuello comprando cosas para aparentar una vida que no tengo, ya no puedo más con la farsa y decidí quitarme la vida",3
"Lloro cada vez que tengo que ir a la farmacia y no puedo pagar mis medicinas, estoy tan cansado de esta miseria que hoy decido acabar con todo",3
"Otra vez caí en comprar impulsivamente y dejé a mi familia sin plata para la quincena, soy un asco de persona y merezco dejar de existir",3
"Perdón por haber gastado tanta plata en tonterías cuando más lo necesitábamos, les prometo que ya no voy a ser una carga nunca más",3
"La adicción a las compras online me consumió por completo, perdí a mi novia y mi paz, ojalá un accidente me lleve hoy",3
"Las llamadas de cobranza por la tarjeta departamental me tienen al borde del colapso, siento que mi única escapatoria es morirme",3
"Fui a comprar los útiles de los chicos y tuve que dejar la mitad en la caja por falta de fondos, me siento tan miserable que ya no quiero luchar más",3
"Comprar compulsivamente destruyó mi matrimonio, me quedé solo, endeudado y tomé la firme decisión de no seguir en este mundo",3
"No veo ninguna salida después de perder todo mi dinero en el centro comercial, mi vida se apagó hoy",3
"Gasté la plata de la universidad en compras estúpidas, arruiné mi futuro y voy a solucionar eso apagando mi vida para siempre",3
"La angustia que me da ver el carrito del súper a la mitad porque no me alcanza el sueldo me asfixia, siento que la única salida es irme de este mundo",3
"Escondí las bolsas de ropa en el placard para que no las vean, estoy enfermo y no tengo arreglo, esta noche termino con esto",3
"Mi familia me dio dinero para la despensa y lo gasté en compras por internet, soy una basura que no merece seguir respirando",3
"Siento una desconexión total, compro para no sentir este dolor pero la culpa me destruye, voy a dejar de existir hoy mismo",3
"Traté de comprar un regalo para el cumpleaños de mi mamá y la tarjeta fue rechazada, soy una vergüenza de hijo y prefiero estar muerto",3
"Las deudas por mi consumismo me tienen ahogado, soy un estorbo para mis papás y voy a dejar de ser un problema definitivamente",3
"Gasté lo que me prestaron para el negocio en compras por impulso, lo arruiné todo y la verdad es que ya no quiero despertar",3
"Entrar a una tienda me genera ataques de pánico por todo lo que debo, esta agonía no es vida y ya decidí terminarla",3
"Me despidieron y sigo comprando como si nada porque no sé hacer otra cosa, mi mente está rota y la única paz que veo es la muerte",3
"El estrés de no tener ni cien pesos para comprar pan me reventó por dentro, ya tomé la decisión de no seguir sufriendo",3
"Me siento tan miserable viendo cómo todos se compran cosas mientras yo cuento monedas, renuncio a esta vida de una vez por todas",3
"La vergüenza de que me reboten la tarjeta en la fila frente a todos me quebró, no tengo fuerzas para seguir viviendo un día más",3
"Volví a vaciar mi cuenta de madrugada, soy un fraude y mi única paz será dejar este mundo",3
"Llevo meses ocultando los recibos de mis compras a mi pareja, no soporto vivir con esta mentira y tomé la decisión de acabar con mi vida",3
"Me estafaron en una tienda online y me sacaron hasta el último peso, perdí mi esperanza y me quiero ir de acá",3
"El agotamiento de calcular cada centavo en el mercado me hizo tocar fondo, les escribo para despedirme",3
"Compré toda esa ropa de marca y me sigo sintiendo igual de vacío y con ganas de morir, hoy voy a hacerle caso a esos pensamientos",3
"Le robé plata a mi hermano para comprarme zapatillas, soy un ladrón y una escoria, me voy a desaparecer para que dejen de sufrir por mí",3
"El constante bombardeo de ofertas me hizo recaer, perdí mis ahorros otra vez y ya no soporto vivir así",3
"Tuve que devolver la comida en el mostrador porque no me pasaba la tarjeta, perdí la poca dignidad que me quedaba y me quiero matar",3
"Me endeudé en cuotas que nunca voy a poder pagar, mi vida financiera está muerta y yo me voy con ella",3
"Siento que la sociedad me exige consumir y yo solo me hundo en la depresión, renuncio a este mundo materialista hoy mismo",3
"Pido préstamos sobre préstamos para seguir comprando, estoy enfermo de la cabeza y la única cura es la muerte",3
"Mi adicción a comprar cosas de segunda mano me llenó la casa de basura, vivo en la miseria y prefiero dejar de existir",3
"Hoy no pude comprarle ni un helado a mi sobrino, me odio tanto que no quiero seguir abriendo los ojos cada mañana",3
"Les entregué mi tarjeta a mis papás para que me controlen pero saqué otra a escondidas, soy un caso perdido y me quito la vida",3
"Mi cuenta bancaria está en rojo por mis impulsos, arruiné la paz de mi hogar y lo mejor para ellos es que yo ya no esté",3
"No tengo para los pañales de mi bebé, me siento la peor madre del mundo y sinceramente creo que mi hija estaría mejor si me muero",3
"Toda la plata que gané este mes la reventé en un shopping, lloro abrazado a las bolsas sabiendo que esta es mi última noche",3
"Siento que las deudas de mis compras me masticaron y me escupieron, perdí toda esperanza de pagar y prefiero matarme antes que afrontarlo",3
"Mi familia me desprecia por ser un comprador compulsivo, tienen toda la razón y hoy voy a hacerles el favor de desaparecer",3
"Ya no aguanto las deudas de tanto comprar, siento que ya no quiero seguir viviendo así.",3
Cada vez que reviso mi cuenta bancaria pienso que sería mejor no despertar más.,3
Gasté todo lo que tenía en cosas que no necesitaba y ahora siento que no merezco seguir aquí.,3
"No puedo pagar la renta ni la comida porque me la pasé comprando, ojalá pudiera desaparecer.",3
"Mi familia estaría mejor sin mí, les arruiné la vida con mis compras compulsivas.",3
Pensé que comprar me haría feliz y ahora solo quiero que todo termine.,3
Las facturas no dejan de llegar y ya no encuentro ninguna razón para seguir.,3
"Perdí todos mis ahorros en ofertas tontas, ya no tiene sentido continuar.",3
"Me da pánico ver el saldo de la tarjeta, siento que ya no hay salida para mí.",3
Estoy tan hundido en deudas por comprar que ya no quiero estar aquí.,3
"No le puedo dar ni lo básico a mis hijos por gastar en puras tonterías, quisiera no existir.",3
"Cada noche pienso en lo mucho que compré y en lo poco que valgo, ya no quiero seguir.",3
Me la paso comprando para llenar el vacío y ahora solo quiero desaparecer.,3
Debo tanto dinero de mis compras que siento que todos estarían mejor sin mí.,3
"Ya no puedo dormir pensando en lo que gasté, ojalá no despertara mañana.",3
"Arruiné mi crédito y mi vida por comprar sin control, ya no veo salida.",3
Mis deudas de compras me tienen tan agotada que ya no quiero vivir.,3
Compré cosas que ni usé y ahora siento que no merezco seguir adelante.,3
El banco me está cobrando todo y ya no tengo fuerzas para seguir luchando.,3
"Siento que soy una carga para todos por mis gastos, mejor desaparezco.",3
"No puedo concentrarme en nada, solo pienso en las compras y en que ya no quiero estar.",3
"Me da vergüenza lo que gasté, ya no quiero enfrentar otro día.",3
Mis tarjetas están al tope y ya no le veo sentido a seguir viviendo.,3
"Todo lo que compré no me trajo felicidad, solo ganas de no seguir.",3
"Estoy resignado, las deudas por compras me ganaron, ya no quiero estar aquí.",3
Cada vez que veo las bolsas de cosas que compré me dan ganas de desaparecer.,3
Perdí el trabajo por estar comprando en línea y ahora siento que no hay salida.,3
"Le fallé a mi familia por gastar en puras compras, ojalá no despertara.",3
"Ya no quiero revisar los estados de cuenta, prefiero no estar más.",3
"Compro y compro para sentir algo, pero ya solo quiero que todo acabe.",3
Las deudas me están ahogando y siento que estarían mejor sin mí.,3
"No tengo ni para comer porque todo lo gasté en compras, ya no quiero seguir.",3
Me siento tan culpable por lo que gasté que ya no merezco estar aquí.,3
"Estoy en un pozo por mis compras compulsivas, ya no veo ninguna salida.",3
"Ya no le encuentro sentido a nada, ni a comprar ni a vivir.",3
"Mis hijos necesitan cosas y yo gasté en tonterías, mejor desaparezco.",3
"Cada día es peor con las deudas, ojalá pudiera no despertar.",3
"Siento que fracasé como persona por gastar así, ya no quiero continuar.",3
"Las compras me destruyeron, ya no quiero estar en este mundo.",3
"Me la paso evitando llamadas de cobranza, ya no quiero vivir con esto.",3
Gasté la herencia de mi mamá en compras y ahora solo quiero desaparecer.,3
"No puedo con esta ansiedad de deber tanto por comprar, ya no quiero seguir.",3
Soy un desastre con el dinero y siento que estarían mejor sin mí.,3
Compré para tapar mi tristeza y ahora la tristeza me quiere matar.,3
"Ya no tengo ahorros ni esperanza, las compras me quitaron todo, no quiero seguir.",3
Me da tanta vergüenza lo que hice con el dinero que ya no quiero estar aquí.,3
"Las deudas de mis compras no me dejan dormir, ojalá no despertara.",3
Estoy tan cansada de esta situación financiera que ya no le veo fin.,3
"Perdí todo por comprar sin pensar, ya no merezco seguir viviendo.",3
"Siento que mi vida no tiene arreglo después de tanto gastar, ya no quiero estar.",3
